question,answer
Where do dendritic cells exist in the body?,gut-associated lymphoid tissue (GALT)
What are the components of the gut-associated lymphoid tissue?,"Peyer's patches (PPs), isolated lymphoid follicles (ILFs), mesenteric lymph nodes (MLNs), and scatter throughout the subepithelial lamina propria (LP) of the small intestine and colon"
What type of cells form the intestinal mucosal barrier?,lymphoid cells
What factors determine an effective mucosal immune response?,serum IgG and mucosal SIgA
What is an effective indicator of a vaccine's ability to generate an immune response?,cytokines
What is interleukin-1Beta?,pro-inflammatory cytokines
When was the first case of COVID-19 identified?,"Wuhan City, China"
Where did SARS-CoV-2 originate?,"Wuhan City, China"
In what year did the first SARS epidemic occur?, rapid and transparent sharing of information between countries and agencies
"When was World Health Organization (WHO) first notified about the SARS-CoV-2 epidemic in Wuhan City, China?",31 December
"When did we discover that SARS-CoV-2, which causes COVID-19, was a novel coronavirus?",26 January 2020
How long did it take to identify the cause of COVID-19?,4 weeks
What type of test was initially developed to screen for SARS-CoV-2?, reverse transcription polymerase chain reaction
How big was the temporary hospital built in Wuhan City for treatment of COVID-19 patients?,1000 bed hospital
How long did it take China to build the temporary hospital in Wuhan for COVID-19 patients?,10 days
What is a key factor in managing emerging infectious disease threats?,transparent sharing of information between countries and agencies
In what year did the MERS epidemic occur?,2012
How long did it take to publish the full genomic sequence of SARS-CoV-2 after it was identified?,2 weeks
What was the fatality rate for SARS-CoV?,10%
What was the fatality rate for MERS?,34%
What are some challenges associated with using media and social media to capture information about an emerging epidemic?,the volume and diversity of the information available and the relative lack of verification mechanisms
What are the risks of health workers failing to wash hands?,"autoinfection, but also in infection of patients hospitalised for other causes when they provide care"
Who is at risk when health workers fail to wash their hands?," the health worker, but also for their families and the communities in which they live"
What was the R0 of SARS in absence of control measures?,3
What is superspreading?,where a case infected significantly more contacts than the average
How many people may have left Wuhan before travel restrictions were imposed?,5 m people
How many severe cases of influenza-related illnesses are reported per year?,Between 3-5 million
How many influenza-related deaths are reported each year?,over 250 000
What is the mortality rate of the H5N1 strain of influenza?,53%
What cells are the main target of the influenza A virus in the lungs?,primary human alveolar epithelial type II (ATII) cells
How many extracellular domains are in the CEAMCAM1 protein?,four
Where is CEACAM1 expressed in the body?,"epithelial and endothelial cells 11 , as well as B cells, T cells, neutrophils, NK cells, macrophages and dendritic cells (DCs)"
What motifs are absent in the short form of CEACAM1 protein?,immunoreceptor tyrosine-based inhibitory motifs (ITIMs)
What are the most common isoforms of CEACAM1?,CEACAM1-4L and CEACAM1-3L
How do CEACAM1 and CEACAM5 interact?,heterophilically
What are the SRC-family of kinases? ,signaling molecules
What triggers the release of pro-inflammatory cytokines/chemokines to assist in viral clearance?,pattern recognition receptors (PRRs)
What mediates the anti-apoptosis of neutrophils?,Phosphorylation of CEACAM1 ITIM motifs and activation of caspase-3
How do natural killer cells fight influenza viruses?,by recognizing and killing infected cells
How do influenza viruses escape binding by the natural killer cell activating receptors?,modification of influenza hemagglutinin (HA) glycosylation
What is Enfuvirtide?,HIV fusion inhibitor
What is labeled in red?,residues corresponding to the NHR pocket region
What is marked in blue?,residues for the PBD
What is marked in green?,MT-hook residues adjacent to the N terminus of PBD
What is labeled in pink?,mutant residues in PBD of AP2 and AP3
How many times was the experiment repeated?,twice
What was the main finding in the study?,"AP3, exhibited improved antiviral activity, drug resistance profile and pharmacological properties over T20"
What do the results suggest?,AP3 has potential for development as a new anti-HIV drug
What enhanced anti-HIV1 activity?,adding two amino acids of Met and Thr to the N-terminus of a CHR-peptide 
What figure shows that AP3 exhibited higher inhibitory activities on infection by HIV-1 IIIB and HIV-1 Bal strains?,Fig. 1b
What is the serum half-life of T20?,about 2 h
What kind of model best describes the pharmacokinetic profiles of AP3 and AP2?,non-compartment model
What is the in vivo elimination half-life of AP3?,6.02 h
Why did the T20/N36 complex not show a typical alpha helical conformation?,Because T20 lacks the pocket-binding domain (PBD)
What mutations have been typically associated with T20-resistant HIV-1 variants?,GIV motif (residues 36-45: GIVQQQNNLL) in the gp41 NHR domain 10
What are main steps for mitigating the COVID -19 transmission during transport of suspected and confirmed patients?,"firstly, early recognition of the deteriorating patient; secondly, HCW safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post-transport decontamination"
